lot_id,timestamp,exit_humidity_%,inlet_humidity_%,drying_temp_°C,residence_time_s,production_line,sensor_id,status
20250810-CAT01,2025-08-10T13:50:00Z,32.1,18.7,80.2,125,Line-1,SENSOR_001,normal
20250810-CAT01,2025-08-10T13:55:00Z,33.4,19.2,79.8,123,Line-1,SENSOR_001,normal
20250810-CAT01,2025-08-10T14:00:00Z,34.5,20.1,79.5,120,Line-1,SENSOR_001,alert
20250809-CAT01,2025-08-09T14:15:00Z,28.5,17.8,80.5,128,Line-1,SENSOR_001,normal
20250809-CAT01,2025-08-09T14:20:00Z,29.1,18.1,80.3,127,Line-1,SENSOR_001,normal
20250809-CAT01,2025-08-09T14:25:00Z,29.8,18.4,80.0,126,Line-1,SENSOR_001,normal
20250808-CAT01,2025-08-08T09:30:00Z,30.2,19.5,81.0,130,Line-2,SENSOR_002,normal
20250808-CAT01,2025-08-08T09:35:00Z,30.8,19.8,80.8,129,Line-2,SENSOR_002,normal
20250808-CAT01,2025-08-08T09:40:00Z,31.1,20.0,80.5,128,Line-2,SENSOR_002,normal
20250807-CAT02,2025-08-07T16:20:00Z,35.2,21.3,78.5,118,Line-1,SENSOR_001,alert
20250807-CAT02,2025-08-07T16:25:00Z,35.8,21.6,78.2,117,Line-1,SENSOR_001,alert
20250807-CAT02,2025-08-07T16:30:00Z,36.1,21.9,78.0,115,Line-1,SENSOR_001,warning
20250806-CAT01,2025-08-06T11:10:00Z,29.5,18.0,81.2,132,Line-3,SENSOR_003,normal
20250806-CAT01,2025-08-06T11:15:00Z,30.0,18.3,81.0,131,Line-3,SENSOR_003,normal
20250806-CAT01,2025-08-06T11:20:00Z,30.3,18.5,80.8,130,Line-3,SENSOR_003,normal
20250805-CAT03,2025-08-05T13:45:00Z,25.8,16.2,82.0,135,Line-2,SENSOR_002,normal
20250805-CAT03,2025-08-05T13:50:00Z,26.2,16.5,81.8,134,Line-2,SENSOR_002,normal
20250805-CAT03,2025-08-05T13:55:00Z,26.5,16.7,81.5,133,Line-2,SENSOR_002,normal
20250804-CAT01,2025-08-04T10:15:00Z,37.2,22.8,77.5,112,Line-1,SENSOR_001,warning
20250804-CAT01,2025-08-04T10:20:00Z,37.8,23.1,77.2,110,Line-1,SENSOR_001,warning
20250804-CAT01,2025-08-04T10:25:00Z,38.1,23.4,77.0,108,Line-1,SENSOR_001,critical
20250803-CAT02,2025-08-03T15:30:00Z,31.2,19.8,80.2,125,Line-3,SENSOR_003,normal
20250803-CAT02,2025-08-03T15:35:00Z,31.6,20.0,80.0,124,Line-3,SENSOR_003,normal
20250803-CAT02,2025-08-03T15:40:00Z,31.9,20.2,79.8,123,Line-3,SENSOR_003,normal
20250802-CAT01,2025-08-02T08:45:00Z,28.8,17.5,81.5,135,Line-2,SENSOR_002,normal
20250802-CAT01,2025-08-02T08:50:00Z,29.2,17.8,81.3,134,Line-2,SENSOR_002,normal
20250802-CAT01,2025-08-02T08:55:00Z,29.5,18.0,81.0,133,Line-2,SENSOR_002,normal
20250801-CAT03,2025-08-01T12:20:00Z,24.5,15.8,82.5,140,Line-1,SENSOR_001,normal
20250801-CAT03,2025-08-01T12:25:00Z,24.8,16.0,82.3,139,Line-1,SENSOR_001,normal
20250801-CAT03,2025-08-01T12:30:00Z,25.1,16.2,82.0,138,Line-1,SENSOR_001,normal 
