구분,팀,고객명,강종(주문),강종(생산),코드,제강공장,코드2,압연,두께,길이(제품),길이(소재),요청량,재고량,제강량,Ch수,생산량(최종),용도별,조정량,이월주문,소LOT분류,생산증량 검토 時,비고(공장),비고(영업) - 특기사항,비고,요청라인
,특수강봉강판매팀,원일특강,S45C,SM45C,3I,80톤,봉강,봉강1차,32,6000,"8,181",25,,25,0.3,25,자동차,,2,,증량,,대원,원일,
,특수강봉강판매팀,원일특강,S45CA,S45CA,#REF!,80톤,봉강,봉강1차,32,6240,"8,181",75,,85,1.1,85,자동차,-10,8,,증량,,No G/D,원일,
,특수강봉강판매팀,원일특강,S45CA,S45CA,#REF!,80톤,봉강,봉강1차,32,6270,#N/A,50,,55,0.7,55,자동차,-5,5,,증량,,No G/D,원일,
,특수강봉강판매팀,원일특강,S45C,SM45C,3I,80톤,봉강,봉강1차,30,6000,"8,181",50,,55,0.7,55,자동차,-5,5,,증량,,위아,비엠,
,특수강봉강판매팀,원일특강,SM25CA,SM25CA,M1,80톤,봉강,봉강2차,50,6000,"8,200",200,,200,2.7,200,자동차,,113,D250414624-002,증량,,위아,비엠,
,특수강봉강판매팀,원일특강,S40CVS-HB,S40CVS-HB,8E,80톤,봉강,봉강2차,50,6000,"8,200",25,,25,0.3,25,자동차,,,,증량 불가_ 소재 없음,,위아,비엠,
,특수강봉강판매팀,대륜특수강,S45C,SM45C,3I,80톤,봉강,봉강1차,30,6000,"8,181",50,,55,0.7,55,자동차,-5,5,,증량,,,,
,특수강봉강판매팀,대륜특수강,S45C,SM45C,3I,80톤,봉강,봉강1차,34,6000,"8,135",25,,30,0.4,30,자동차,-5,,소LOT,증량 (+5),,,,
,특수강봉강판매팀,대륜특수강,S40CVS-HB,S40CVS-HB,8E,80톤,봉강,봉강2차,50,6000,"8,200",-,,-,-,-,자동차,,,,증량 불가_ 소재 없음,,대륜 월10~15톤 소요,,
,특수강봉강판매팀,진일스틸,SM45C,SM45C,3I,80톤,봉강,봉강1차,32,6000,"8,181",50,,55,0.7,55,자동차,-5,5,,증량,,,,
,특수강봉강판매팀,진일스틸,SM25CA,SM25CA,M1,80톤,봉강,봉강1차,40,7000,"8,135",150,,165,2.2,165,자동차,-15,16,,증량,,,,
,특수강봉강판매팀,진일스틸,SM35C,SM35C,3A,80톤,봉강,봉강1차,33,6000,"8,181",15,,-,-,-,자동차,15,,소LOT,,,,,
,특수강봉강판매팀,진일스틸,SM45C,SM45C,3I,80톤,봉강,봉강1차,25,6000,"8,181",15,,-,-,-,자동차,15,,소LOT,,,,,
,특수강봉강판매팀,진일스틸,SM45C,SM45C,3I,80톤,봉강,봉강1차,28,6000,"8,072",20,,25,0.3,25,자동차,-5,,소LOT,,,,,
,특수강봉강판매팀,진일스틸,SM45C,SM45C,3I,80톤,봉강,봉강1차,32,6000,"8,181",150,,165,2.2,165,자동차,-15,16,,증량,,,,
,특수강봉강판매팀,진일스틸,SM45C,SM45C,3I,80톤,봉강,봉강1차,38,6000,"8,072",50,,60,0.8,60,자동차,-10,,소LOT,증량(+10),,,,
,특수강봉강판매팀,진일스틸,SM25CA,SM25CA,M1,80톤,봉강,봉강2차,45,7000,"8,098",150,,150,2.0,150,자동차,,85,D250414616-007,증량,,,,
,특수강봉강판매팀,진일스틸,SM45C,SM45C,3I,80톤,봉강,봉강2차,42,6000,"8,135",25,,40,0.5,40,자동차,-15,23,,증량,,,,
,특수강봉강판매팀,진일스틸,SM45C,SM45C,3I,80톤,봉강,봉강2차,43,6000,"8,098",50,,100,1.3,100,자동차,-50,,소LOT,,,,,
,특수강봉강판매팀,진일스틸,SM45C,SM45C,3I,80톤,봉강,봉강2차,60,6100,"7,855",25,,40,0.5,40,자동차,-15,23,,증량,,,,
,특수강봉강판매팀,진일스틸,SM45C,SM45C,3I,80톤,봉강,봉강2차,65,6000,"8,181",100,,140,1.9,140,자동차,-40,,소LOT,,,,,
,특수강봉강판매팀,케이원스틸,SM20C,SM20CA,N3,80톤,봉강,봉강2차,45,6000,"8,098",10,,15,0.2,15,자동차,-5,8,,증량,,,,
,특수강봉강판매팀,케이,SM25CA,SM25CA,M1,80톤,봉강,봉강2차,42,6000,"8,135",100,,100,1.3,100,자동차,,57,D250415267-002,증량,,네오스틸,,
,특수강봉강판매팀,케이원스틸,SM38C,SM38C,3C,80톤,봉강,봉강2차,55,6000,"8,135",50,,80,1.1,80,자동차,-30,45,,증량,,,,
,특수강봉강판매팀,케이원스틸,SCM440H,SCM440H,5H,80톤,봉강,봉강2차,42,6000,"8,135",75,,115,1.5,115,자동차,-40,65,,증량,,,,
,특수강봉강판매팀,케이원스틸,S40CVS-HB,S40CVS-HB,8E,80톤,봉강,봉강2차,45,6000,"8,098",25,,25,0.3,25,자동차,,,,증량 불가_ 소재 없음,,,,
,특수강봉강판매팀,그린스틸,SM45C,SM45C,3I,80톤,봉강,봉강1차,40,6000,"8,135",100,,100,1.3,100,자동차,-,10,,,,,,
,특수강봉강판매팀,진양특수강,SCM440H,SCM440H,5H,80톤,봉강,빌렛,200,6000,#N/A,,,-,-,-,산업용,,,,,,,,
,특수강봉강판매팀,진양특수강,SM45C,SM45C,3I,80톤,봉강,빌렛,200,5600,#N/A,"1,500",,"1,500",20.0,"1,500",산업용,,,,,,,,
