date,lot_id,mixer_start,mixer_end,hopper_start,hopper_end,auger_start,auger_end,rhk_input_start,rhk_input_end,rhk_output_start,rhk_output_end,roc_start,roc_end,target_icp1
2022-01-01,220101001,2022-01-01 09:00:00,2022-01-01 09:09:00,2022-01-01 09:09:00,2022-01-01 10:52:00,2022-01-01 10:52:00,2022-01-01 11:51:00,2022-01-01 11:51:00,2022-01-01 12:21:00,2022-01-01 12:21:00,2022-01-01 12:51:00,2022-01-01 12:51:00,2022-01-01 13:32:00,0.4757
2022-01-01,220101002,2022-01-01 10:40:00,2022-01-01 10:49:00,2022-01-01 10:52:00,2022-01-01 12:33:00,2022-01-01 12:33:00,2022-01-01 13:33:00,2022-01-01 13:33:00,2022-01-01 14:03:00,2022-01-01 14:03:00,2022-01-01 14:32:00,2022-01-01 14:32:00,2022-01-01 15:12:00,0.2883
2022-01-01,220101003,2022-01-01 12:20:00,2022-01-01 12:30:00,2022-01-01 12:33:00,2022-01-01 14:16:00,2022-01-01 14:16:00,2022-01-01 15:14:00,2022-01-01 15:14:00,2022-01-01 15:44:00,2022-01-01 15:44:00,2022-01-01 16:14:00,2022-01-01 16:14:00,2022-01-01 16:53:00,0.224
2022-01-01,220101004,2022-01-01 14:00:00,2022-01-01 14:10:00,2022-01-01 14:16:00,2022-01-01 15:59:00,2022-01-01 15:59:00,2022-01-01 16:57:00,2022-01-01 16:57:00,2022-01-01 17:27:00,2022-01-01 17:27:00,2022-01-01 17:58:00,2022-01-01 17:58:00,2022-01-01 18:39:00,0.3593
2022-01-01,220101005,2022-01-01 15:40:00,2022-01-01 15:49:00,2022-01-01 15:59:00,2022-01-01 17:43:00,2022-01-01 17:43:00,2022-01-01 18:44:00,2022-01-01 18:44:00,2022-01-01 19:14:00,2022-01-01 19:14:00,2022-01-01 19:43:00,2022-01-01 19:43:00,2022-01-01 20:24:00,0.5488
2022-01-01,220101006,2022-01-01 17:20:00,2022-01-01 17:30:00,2022-01-01 17:43:00,2022-01-01 19:22:00,2022-01-01 19:22:00,2022-01-01 20:20:00,2022-01-01 20:20:00,2022-01-01 20:50:00,2022-01-01 20:50:00,2022-01-01 21:21:00,2022-01-01 21:21:00,2022-01-01 22:02:00,0.5693
2022-01-01,220101007,2022-01-01 19:00:00,2022-01-01 19:10:00,2022-01-01 19:22:00,2022-01-01 21:03:00,2022-01-01 21:03:00,2022-01-01 22:01:00,2022-01-01 22:01:00,2022-01-01 22:29:00,2022-01-01 22:29:00,2022-01-01 23:00:00,2022-01-01 23:00:00,2022-01-01 23:40:00,0.5355
2022-01-01,220101008,2022-01-01 20:40:00,2022-01-01 20:49:00,2022-01-01 21:03:00,2022-01-01 22:47:00,2022-01-01 22:47:00,2022-01-01 23:46:00,2022-01-01 23:46:00,2022-01-02 00:17:00,2022-01-02 00:17:00,2022-01-02 00:46:00,2022-01-02 00:46:00,2022-01-02 01:24:00,0.4358
2022-01-01,220101009,2022-01-01 22:20:00,2022-01-01 22:29:00,2022-01-01 22:47:00,2022-01-02 00:28:00,2022-01-02 00:28:00,2022-01-02 01:29:00,2022-01-02 01:29:00,2022-01-02 01:59:00,2022-01-02 01:59:00,2022-01-02 02:28:00,2022-01-02 02:28:00,2022-01-02 03:09:00,0.5109
2022-01-02,220102010,2022-01-02 00:00:00,2022-01-02 00:10:00,2022-01-02 00:28:00,2022-01-02 02:05:00,2022-01-02 02:05:00,2022-01-02 03:04:00,2022-01-02 03:04:00,2022-01-02 03:34:00,2022-01-02 03:34:00,2022-01-02 04:04:00,2022-01-02 04:04:00,2022-01-02 04:45:00,0.4316
