date,lot_id,washing_start,washing_end,filter_press_start,filter_press_end,dry_start,dry_end,cooler_start,cooler_end,shifter_start,shifter_end,ems_start,ems_end,packing_start,packing_end,target_icp3
2022-01-03,220103001,2022-01-03 08:00:00,2022-01-03 12:03:00,2022-01-03 12:03:00,2022-01-03 16:11:00,2022-01-03 16:11:00,2022-01-04 16:17:00,2022-01-04 18:17:00,2022-01-04 22:28:00,2022-01-04 22:28:00,2022-01-05 02:19:00,2022-01-05 02:19:00,2022-01-05 06:21:00,2022-01-05 06:21:00,2022-01-05 10:23:00,0.417
2022-01-04,220104002,2022-01-04 08:00:00,2022-01-04 12:09:00,2022-01-04 12:09:00,2022-01-04 16:08:00,2022-01-04 16:17:00,2022-01-05 16:15:00,2022-01-05 18:15:00,2022-01-05 22:18:00,2022-01-05 22:18:00,2022-01-06 02:20:00,2022-01-06 02:20:00,2022-01-06 06:13:00,2022-01-06 06:13:00,2022-01-06 10:20:00,0.3019
2022-01-05,220105003,2022-01-05 08:00:00,2022-01-05 12:04:00,2022-01-05 12:04:00,2022-01-05 16:00:00,2022-01-05 16:15:00,2022-01-06 15:50:00,2022-01-06 17:50:00,2022-01-06 21:52:00,2022-01-06 21:52:00,2022-01-07 01:55:00,2022-01-07 01:55:00,2022-01-07 05:59:00,2022-01-07 05:59:00,2022-01-07 10:10:00,0.3511
2022-01-06,220106004,2022-01-06 08:00:00,2022-01-06 12:10:00,2022-01-06 12:10:00,2022-01-06 16:06:00,2022-01-06 16:06:00,2022-01-07 16:15:00,2022-01-07 18:15:00,2022-01-07 22:16:00,2022-01-07 22:16:00,2022-01-08 02:22:00,2022-01-08 02:22:00,2022-01-08 06:20:00,2022-01-08 06:20:00,2022-01-08 10:28:00,0.1405
2022-01-07,220107005,2022-01-07 08:00:00,2022-01-07 12:09:00,2022-01-07 12:09:00,2022-01-07 16:03:00,2022-01-07 16:15:00,2022-01-08 16:36:00,2022-01-08 18:36:00,2022-01-08 22:27:00,2022-01-08 22:27:00,2022-01-09 02:17:00,2022-01-09 02:17:00,2022-01-09 06:12:00,2022-01-09 06:12:00,2022-01-09 10:07:00,0.7113
2022-01-08,220108006,2022-01-08 08:00:00,2022-01-08 11:54:00,2022-01-08 11:54:00,2022-01-08 15:50:00,2022-01-08 16:36:00,2022-01-09 16:44:00,2022-01-09 18:44:00,2022-01-09 22:38:00,2022-01-09 22:38:00,2022-01-10 02:47:00,2022-01-10 02:47:00,2022-01-10 06:36:00,2022-01-10 06:36:00,2022-01-10 10:31:00,0.5332
2022-01-09,220109007,2022-01-09 08:00:00,2022-01-09 12:03:00,2022-01-09 12:03:00,2022-01-09 16:07:00,2022-01-09 16:44:00,2022-01-10 16:52:00,2022-01-10 18:52:00,2022-01-10 22:55:00,2022-01-10 22:55:00,2022-01-11 02:52:00,2022-01-11 02:52:00,2022-01-11 06:52:00,2022-01-11 06:52:00,2022-01-11 10:49:00,0.4076
2022-01-10,220110008,2022-01-10 08:00:00,2022-01-10 11:57:00,2022-01-10 11:57:00,2022-01-10 16:06:00,2022-01-10 16:52:00,2022-01-11 17:14:00,2022-01-11 19:14:00,2022-01-11 23:02:00,2022-01-11 23:02:00,2022-01-12 03:00:00,2022-01-12 03:00:00,2022-01-12 07:00:00,2022-01-12 07:00:00,2022-01-12 10:57:00,0.5944
2022-01-11,220111009,2022-01-11 08:00:00,2022-01-11 11:50:00,2022-01-11 11:50:00,2022-01-11 16:00:00,2022-01-11 17:14:00,2022-01-12 17:36:00,2022-01-12 19:36:00,2022-01-12 23:41:00,2022-01-12 23:41:00,2022-01-13 03:52:00,2022-01-13 03:52:00,2022-01-13 07:54:00,2022-01-13 07:54:00,2022-01-13 12:02:00,0.5428
2022-01-12,220112010,2022-01-12 08:00:00,2022-01-12 11:49:00,2022-01-12 11:49:00,2022-01-12 15:43:00,2022-01-12 17:36:00,2022-01-13 17:42:00,2022-01-13 19:42:00,2022-01-13 23:46:00,2022-01-13 23:46:00,2022-01-14 03:36:00,2022-01-14 03:36:00,2022-01-14 07:34:00,2022-01-14 07:34:00,2022-01-14 11:23:00,0.5465
2022-01-13,220113011,2022-01-13 08:00:00,2022-01-13 12:10:00,2022-01-13 12:10:00,2022-01-13 16:10:00,2022-01-13 17:42:00,2022-01-14 17:34:00,2022-01-14 19:34:00,2022-01-14 23:44:00,2022-01-14 23:44:00,2022-01-15 03:50:00,2022-01-15 03:50:00,2022-01-15 07:41:00,2022-01-15 07:41:00,2022-01-15 11:49:00,0.5762
2022-01-14,220114012,2022-01-14 08:00:00,2022-01-14 12:03:00,2022-01-14 12:03:00,2022-01-14 16:03:00,2022-01-14 17:34:00,2022-01-15 17:54:00,2022-01-15 19:54:00,2022-01-16 00:03:00,2022-01-16 00:03:00,2022-01-16 03:54:00,2022-01-16 03:54:00,2022-01-16 07:59:00,2022-01-16 07:59:00,2022-01-16 12:07:00,0.5639
2022-01-15,220115013,2022-01-15 08:00:00,2022-01-15 12:07:00,2022-01-15 12:07:00,2022-01-15 16:02:00,2022-01-15 17:54:00,2022-01-16 17:39:00,2022-01-16 19:39:00,2022-01-16 23:48:00,2022-01-16 23:48:00,2022-01-17 03:41:00,2022-01-17 03:41:00,2022-01-17 07:34:00,2022-01-17 07:34:00,2022-01-17 11:36:00,0.4939
2022-01-16,220116014,2022-01-16 08:00:00,2022-01-16 11:58:00,2022-01-16 11:58:00,2022-01-16 16:07:00,2022-01-16 17:39:00,2022-01-17 17:52:00,2022-01-17 19:52:00,2022-01-17 23:48:00,2022-01-17 23:48:00,2022-01-18 03:44:00,2022-01-18 03:44:00,2022-01-18 07:53:00,2022-01-18 07:53:00,2022-01-18 11:59:00,0.333
2022-01-17,220117015,2022-01-17 08:00:00,2022-01-17 12:02:00,2022-01-17 12:02:00,2022-01-17 16:00:00,2022-01-17 17:52:00,2022-01-18 18:03:00,2022-01-18 20:03:00,2022-01-18 23:55:00,2022-01-18 23:55:00,2022-01-19 03:55:00,2022-01-19 03:55:00,2022-01-19 07:44:00,2022-01-19 07:44:00,2022-01-19 11:52:00,0.3689
2022-01-18,220118016,2022-01-18 08:00:00,2022-01-18 12:11:00,2022-01-18 12:11:00,2022-01-18 16:21:00,2022-01-18 18:03:00,2022-01-19 17:55:00,2022-01-19 19:55:00,2022-01-19 23:53:00,2022-01-19 23:53:00,2022-01-20 03:54:00,2022-01-20 03:54:00,2022-01-20 07:50:00,2022-01-20 07:50:00,2022-01-20 11:49:00,0.2324
2022-01-19,220119017,2022-01-19 08:00:00,2022-01-19 12:04:00,2022-01-19 12:04:00,2022-01-19 16:04:00,2022-01-19 17:55:00,2022-01-20 18:13:00,2022-01-20 20:13:00,2022-01-21 00:24:00,2022-01-21 00:24:00,2022-01-21 04:17:00,2022-01-21 04:17:00,2022-01-21 08:27:00,2022-01-21 08:27:00,2022-01-21 12:25:00,0.3378
2022-01-20,220120018,2022-01-20 08:00:00,2022-01-20 11:49:00,2022-01-20 11:49:00,2022-01-20 15:49:00,2022-01-20 18:13:00,2022-01-21 18:07:00,2022-01-21 20:07:00,2022-01-22 00:16:00,2022-01-22 00:16:00,2022-01-22 04:17:00,2022-01-22 04:17:00,2022-01-22 08:26:00,2022-01-22 08:26:00,2022-01-22 12:34:00,0.8239
2022-01-21,220121019,2022-01-21 08:00:00,2022-01-21 12:05:00,2022-01-21 12:05:00,2022-01-21 16:14:00,2022-01-21 18:07:00,2022-01-22 18:32:00,2022-01-22 20:32:00,2022-01-23 00:26:00,2022-01-23 00:26:00,2022-01-23 04:19:00,2022-01-23 04:19:00,2022-01-23 08:22:00,2022-01-23 08:22:00,2022-01-23 12:21:00,0.4759
2022-01-22,220122020,2022-01-22 08:00:00,2022-01-22 12:04:00,2022-01-22 12:04:00,2022-01-22 16:11:00,2022-01-22 18:32:00,2022-01-23 18:57:00,2022-01-23 20:57:00,2022-01-24 01:03:00,2022-01-24 01:03:00,2022-01-24 05:09:00,2022-01-24 05:09:00,2022-01-24 09:16:00,2022-01-24 09:16:00,2022-01-24 13:06:00,0.4321
2022-01-23,220123021,2022-01-23 08:00:00,2022-01-23 11:53:00,2022-01-23 11:53:00,2022-01-23 15:56:00,2022-01-23 18:57:00,2022-01-24 19:19:00,2022-01-24 21:19:00,2022-01-25 01:09:00,2022-01-25 01:09:00,2022-01-25 05:03:00,2022-01-25 05:03:00,2022-01-25 08:55:00,2022-01-25 08:55:00,2022-01-25 13:06:00,0.1622
2022-01-24,220124022,2022-01-24 08:00:00,2022-01-24 12:08:00,2022-01-24 12:08:00,2022-01-24 16:02:00,2022-01-24 19:19:00,2022-01-25 19:13:00,2022-01-25 21:13:00,2022-01-26 01:03:00,2022-01-26 01:03:00,2022-01-26 05:00:00,2022-01-26 05:00:00,2022-01-26 08:51:00,2022-01-26 08:51:00,2022-01-26 12:47:00,0.5965
2022-01-25,220125023,2022-01-25 08:00:00,2022-01-25 12:09:00,2022-01-25 12:09:00,2022-01-25 16:09:00,2022-01-25 19:13:00,2022-01-26 19:16:00,2022-01-26 21:16:00,2022-01-27 01:08:00,2022-01-27 01:08:00,2022-01-27 05:17:00,2022-01-27 05:17:00,2022-01-27 09:25:00,2022-01-27 09:25:00,2022-01-27 13:28:00,0.3563
2022-01-26,220126024,2022-01-26 08:00:00,2022-01-26 12:06:00,2022-01-26 12:06:00,2022-01-26 16:13:00,2022-01-26 19:16:00,2022-01-27 19:20:00,2022-01-27 21:20:00,2022-01-28 01:11:00,2022-01-28 01:11:00,2022-01-28 04:59:00,2022-01-28 04:59:00,2022-01-28 08:48:00,2022-01-28 08:48:00,2022-01-28 12:44:00,0.2942
2022-01-27,220127025,2022-01-27 08:00:00,2022-01-27 12:10:00,2022-01-27 12:10:00,2022-01-27 16:20:00,2022-01-27 19:20:00,2022-01-28 19:34:00,2022-01-28 21:34:00,2022-01-29 01:36:00,2022-01-29 01:36:00,2022-01-29 05:24:00,2022-01-29 05:24:00,2022-01-29 09:30:00,2022-01-29 09:30:00,2022-01-29 13:39:00,0.5038
2022-01-28,220128026,2022-01-28 08:00:00,2022-01-28 11:51:00,2022-01-28 11:51:00,2022-01-28 15:47:00,2022-01-28 19:34:00,2022-01-29 19:21:00,2022-01-29 21:21:00,2022-01-30 01:26:00,2022-01-30 01:26:00,2022-01-30 05:34:00,2022-01-30 05:34:00,2022-01-30 09:40:00,2022-01-30 09:40:00,2022-01-30 13:45:00,0.3842
2022-01-29,220129027,2022-01-29 08:00:00,2022-01-29 11:49:00,2022-01-29 11:49:00,2022-01-29 15:47:00,2022-01-29 19:21:00,2022-01-30 19:00:00,2022-01-30 21:00:00,2022-01-31 00:57:00,2022-01-31 00:57:00,2022-01-31 05:03:00,2022-01-31 05:03:00,2022-01-31 09:00:00,2022-01-31 09:00:00,2022-01-31 12:48:00,0.6726
2022-01-30,220130028,2022-01-30 08:00:00,2022-01-30 11:53:00,2022-01-30 11:53:00,2022-01-30 15:53:00,2022-01-30 19:00:00,2022-01-31 18:57:00,2022-01-31 20:57:00,2022-02-01 00:47:00,2022-02-01 00:47:00,2022-02-01 04:53:00,2022-02-01 04:53:00,2022-02-01 08:45:00,2022-02-01 08:45:00,2022-02-01 12:35:00,0.4695
2022-01-31,220131029,2022-01-31 08:00:00,2022-01-31 12:08:00,2022-01-31 12:08:00,2022-01-31 16:18:00,2022-01-31 18:57:00,2022-02-01 18:44:00,2022-02-01 20:44:00,2022-02-02 00:34:00,2022-02-02 00:34:00,2022-02-02 04:41:00,2022-02-02 04:41:00,2022-02-02 08:43:00,2022-02-02 08:43:00,2022-02-02 12:54:00,0.3995
2022-02-01,220201030,2022-02-01 08:00:00,2022-02-01 11:58:00,2022-02-01 11:58:00,2022-02-01 16:07:00,2022-02-01 18:44:00,2022-02-02 18:33:00,2022-02-02 20:33:00,2022-02-03 00:28:00,2022-02-03 00:28:00,2022-02-03 04:16:00,2022-02-03 04:16:00,2022-02-03 08:11:00,2022-02-03 08:11:00,2022-02-03 12:19:00,0.4842
2022-02-02,220202031,2022-02-02 08:00:00,2022-02-02 12:01:00,2022-02-02 12:01:00,2022-02-02 16:06:00,2022-02-02 18:33:00,2022-02-03 18:09:00,2022-02-03 20:09:00,2022-02-04 00:13:00,2022-02-04 00:13:00,2022-02-04 04:21:00,2022-02-04 04:21:00,2022-02-04 08:31:00,2022-02-04 08:31:00,2022-02-04 12:35:00,0.3675
2022-02-03,220203032,2022-02-03 08:00:00,2022-02-03 11:51:00,2022-02-03 11:51:00,2022-02-03 15:53:00,2022-02-03 18:09:00,2022-02-04 17:51:00,2022-02-04 19:51:00,2022-02-04 23:52:00,2022-02-04 23:52:00,2022-02-05 03:47:00,2022-02-05 03:47:00,2022-02-05 07:44:00,2022-02-05 07:44:00,2022-02-05 11:33:00,0.5008
2022-02-04,220204033,2022-02-04 08:00:00,2022-02-04 11:49:00,2022-02-04 11:49:00,2022-02-04 15:57:00,2022-02-04 17:51:00,2022-02-05 17:45:00,2022-02-05 19:45:00,2022-02-05 23:53:00,2022-02-05 23:53:00,2022-02-06 03:41:00,2022-02-06 03:41:00,2022-02-06 07:41:00,2022-02-06 07:41:00,2022-02-06 11:52:00,0.3509
2022-02-05,220205034,2022-02-05 08:00:00,2022-02-05 12:01:00,2022-02-05 12:01:00,2022-02-05 15:53:00,2022-02-05 17:45:00,2022-02-06 17:22:00,2022-02-06 19:22:00,2022-02-06 23:31:00,2022-02-06 23:31:00,2022-02-07 03:34:00,2022-02-07 03:34:00,2022-02-07 07:30:00,2022-02-07 07:30:00,2022-02-07 11:18:00,0.4276
2022-02-06,220206035,2022-02-06 08:00:00,2022-02-06 11:57:00,2022-02-06 11:57:00,2022-02-06 16:00:00,2022-02-06 17:22:00,2022-02-07 17:36:00,2022-02-07 19:36:00,2022-02-07 23:36:00,2022-02-07 23:36:00,2022-02-08 03:28:00,2022-02-08 03:28:00,2022-02-08 07:26:00,2022-02-08 07:26:00,2022-02-08 11:28:00,0.3328
2022-02-07,220207036,2022-02-07 08:00:00,2022-02-07 11:48:00,2022-02-07 11:48:00,2022-02-07 15:39:00,2022-02-07 17:36:00,2022-02-08 17:44:00,2022-02-08 19:44:00,2022-02-08 23:42:00,2022-02-08 23:42:00,2022-02-09 03:33:00,2022-02-09 03:33:00,2022-02-09 07:23:00,2022-02-09 07:23:00,2022-02-09 11:32:00,0.5032
2022-02-08,220208037,2022-02-08 08:00:00,2022-02-08 11:49:00,2022-02-08 11:49:00,2022-02-08 15:45:00,2022-02-08 17:44:00,2022-02-09 17:33:00,2022-02-09 19:33:00,2022-02-09 23:37:00,2022-02-09 23:37:00,2022-02-10 03:31:00,2022-02-10 03:31:00,2022-02-10 07:20:00,2022-02-10 07:20:00,2022-02-10 11:23:00,0.3925
2022-02-09,220209038,2022-02-09 08:00:00,2022-02-09 11:55:00,2022-02-09 11:55:00,2022-02-09 15:51:00,2022-02-09 17:33:00,2022-02-10 17:25:00,2022-02-10 19:25:00,2022-02-10 23:13:00,2022-02-10 23:13:00,2022-02-11 03:22:00,2022-02-11 03:22:00,2022-02-11 07:28:00,2022-02-11 07:28:00,2022-02-11 11:35:00,0.4817
2022-02-10,220210039,2022-02-10 08:00:00,2022-02-10 11:48:00,2022-02-10 11:48:00,2022-02-10 15:40:00,2022-02-10 17:25:00,2022-02-11 17:29:00,2022-02-11 19:29:00,2022-02-11 23:30:00,2022-02-11 23:30:00,2022-02-12 03:25:00,2022-02-12 03:25:00,2022-02-12 07:13:00,2022-02-12 07:13:00,2022-02-12 11:01:00,0.9
2022-02-11,220211040,2022-02-11 08:00:00,2022-02-11 12:02:00,2022-02-11 12:02:00,2022-02-11 16:05:00,2022-02-11 17:29:00,2022-02-12 17:32:00,2022-02-12 19:32:00,2022-02-12 23:30:00,2022-02-12 23:30:00,2022-02-13 03:36:00,2022-02-13 03:36:00,2022-02-13 07:46:00,2022-02-13 07:46:00,2022-02-13 11:47:00,0.6612
2022-02-12,220212041,2022-02-12 08:00:00,2022-02-12 12:01:00,2022-02-12 12:01:00,2022-02-12 16:02:00,2022-02-12 17:32:00,2022-02-13 17:11:00,2022-02-13 19:11:00,2022-02-13 22:59:00,2022-02-13 22:59:00,2022-02-14 02:55:00,2022-02-14 02:55:00,2022-02-14 06:48:00,2022-02-14 06:48:00,2022-02-14 10:51:00,0.5512
2022-02-13,220213042,2022-02-13 08:00:00,2022-02-13 11:55:00,2022-02-13 11:55:00,2022-02-13 15:45:00,2022-02-13 17:11:00,2022-02-14 17:00:00,2022-02-14 19:00:00,2022-02-14 22:56:00,2022-02-14 22:56:00,2022-02-15 02:58:00,2022-02-15 02:58:00,2022-02-15 07:04:00,2022-02-15 07:04:00,2022-02-15 10:56:00,0.6699
2022-02-14,220214043,2022-02-14 08:00:00,2022-02-14 12:07:00,2022-02-14 12:07:00,2022-02-14 16:07:00,2022-02-14 17:00:00,2022-02-15 17:12:00,2022-02-15 19:12:00,2022-02-15 23:20:00,2022-02-15 23:20:00,2022-02-16 03:29:00,2022-02-16 03:29:00,2022-02-16 07:22:00,2022-02-16 07:22:00,2022-02-16 11:14:00,0.5116
2022-02-15,220215044,2022-02-15 08:00:00,2022-02-15 11:50:00,2022-02-15 11:50:00,2022-02-15 15:51:00,2022-02-15 17:12:00,2022-02-16 17:28:00,2022-02-16 19:28:00,2022-02-16 23:23:00,2022-02-16 23:23:00,2022-02-17 03:33:00,2022-02-17 03:33:00,2022-02-17 07:21:00,2022-02-17 07:21:00,2022-02-17 11:17:00,0.3914
2022-02-16,220216045,2022-02-16 08:00:00,2022-02-16 11:49:00,2022-02-16 11:49:00,2022-02-16 16:00:00,2022-02-16 17:28:00,2022-02-17 17:07:00,2022-02-17 19:07:00,2022-02-17 23:05:00,2022-02-17 23:05:00,2022-02-18 03:04:00,2022-02-18 03:04:00,2022-02-18 07:08:00,2022-02-18 07:08:00,2022-02-18 10:56:00,0.4004
2022-02-17,220217046,2022-02-17 08:00:00,2022-02-17 12:00:00,2022-02-17 12:00:00,2022-02-17 15:59:00,2022-02-17 17:07:00,2022-02-18 16:51:00,2022-02-18 18:51:00,2022-02-18 22:59:00,2022-02-18 22:59:00,2022-02-19 03:10:00,2022-02-19 03:10:00,2022-02-19 07:19:00,2022-02-19 07:19:00,2022-02-19 11:14:00,0.4365
2022-02-18,220218047,2022-02-18 08:00:00,2022-02-18 12:10:00,2022-02-18 12:10:00,2022-02-18 15:59:00,2022-02-18 16:51:00,2022-02-19 17:03:00,2022-02-19 19:03:00,2022-02-19 23:06:00,2022-02-19 23:06:00,2022-02-20 03:07:00,2022-02-20 03:07:00,2022-02-20 07:18:00,2022-02-20 07:18:00,2022-02-20 11:11:00,0.5043
2022-02-19,220219048,2022-02-19 08:00:00,2022-02-19 11:49:00,2022-02-19 11:49:00,2022-02-19 15:40:00,2022-02-19 17:03:00,2022-02-20 17:28:00,2022-02-20 19:28:00,2022-02-20 23:30:00,2022-02-20 23:30:00,2022-02-21 03:32:00,2022-02-21 03:32:00,2022-02-21 07:37:00,2022-02-21 07:37:00,2022-02-21 11:43:00,0.6331
2022-02-20,220220049,2022-02-20 08:00:00,2022-02-20 11:56:00,2022-02-20 11:56:00,2022-02-20 15:52:00,2022-02-20 17:28:00,2022-02-21 17:50:00,2022-02-21 19:50:00,2022-02-21 23:48:00,2022-02-21 23:48:00,2022-02-22 03:56:00,2022-02-22 03:56:00,2022-02-22 08:07:00,2022-02-22 08:07:00,2022-02-22 12:17:00,0.6183
2022-02-21,220221050,2022-02-21 08:00:00,2022-02-21 12:03:00,2022-02-21 12:03:00,2022-02-21 16:00:00,2022-02-21 17:50:00,2022-02-22 17:57:00,2022-02-22 19:57:00,2022-02-22 23:55:00,2022-02-22 23:55:00,2022-02-23 04:00:00,2022-02-23 04:00:00,2022-02-23 08:01:00,2022-02-23 08:01:00,2022-02-23 11:49:00,0.6436
2022-02-22,220222051,2022-02-22 08:00:00,2022-02-22 11:51:00,2022-02-22 11:51:00,2022-02-22 15:39:00,2022-02-22 17:57:00,2022-02-23 18:20:00,2022-02-23 20:20:00,2022-02-24 00:26:00,2022-02-24 00:26:00,2022-02-24 04:30:00,2022-02-24 04:30:00,2022-02-24 08:32:00,2022-02-24 08:32:00,2022-02-24 12:33:00,0.695
2022-02-23,220223052,2022-02-23 08:00:00,2022-02-23 12:04:00,2022-02-23 12:04:00,2022-02-23 16:15:00,2022-02-23 18:20:00,2022-02-24 17:59:00,2022-02-24 19:59:00,2022-02-24 23:50:00,2022-02-24 23:50:00,2022-02-25 03:39:00,2022-02-25 03:39:00,2022-02-25 07:36:00,2022-02-25 07:36:00,2022-02-25 11:33:00,0.3911
2022-02-24,220224053,2022-02-24 08:00:00,2022-02-24 12:01:00,2022-02-24 12:01:00,2022-02-24 15:58:00,2022-02-24 17:59:00,2022-02-25 18:15:00,2022-02-25 20:15:00,2022-02-26 00:06:00,2022-02-26 00:06:00,2022-02-26 04:10:00,2022-02-26 04:10:00,2022-02-26 08:05:00,2022-02-26 08:05:00,2022-02-26 12:13:00,0.6378
2022-02-25,220225054,2022-02-25 08:00:00,2022-02-25 12:09:00,2022-02-25 12:09:00,2022-02-25 16:18:00,2022-02-25 18:15:00,2022-02-26 17:47:00,2022-02-26 19:47:00,2022-02-26 23:58:00,2022-02-26 23:58:00,2022-02-27 03:51:00,2022-02-27 03:51:00,2022-02-27 07:52:00,2022-02-27 07:52:00,2022-02-27 12:03:00,0.5916
2022-02-26,220226055,2022-02-26 08:00:00,2022-02-26 11:59:00,2022-02-26 11:59:00,2022-02-26 15:48:00,2022-02-26 17:47:00,2022-02-27 17:19:00,2022-02-27 19:19:00,2022-02-27 23:12:00,2022-02-27 23:12:00,2022-02-28 03:03:00,2022-02-28 03:03:00,2022-02-28 06:58:00,2022-02-28 06:58:00,2022-02-28 10:51:00,0.4207
2022-02-27,220227056,2022-02-27 08:00:00,2022-02-27 11:57:00,2022-02-27 11:57:00,2022-02-27 15:57:00,2022-02-27 17:19:00,2022-02-28 17:27:00,2022-02-28 19:27:00,2022-02-28 23:19:00,2022-02-28 23:19:00,2022-03-01 03:15:00,2022-03-01 03:15:00,2022-03-01 07:09:00,2022-03-01 07:09:00,2022-03-01 11:10:00,0.601
2022-02-28,220228057,2022-02-28 08:00:00,2022-02-28 12:00:00,2022-02-28 12:00:00,2022-02-28 16:10:00,2022-02-28 17:27:00,2022-03-01 16:59:00,2022-03-01 18:59:00,2022-03-01 23:08:00,2022-03-01 23:08:00,2022-03-02 03:08:00,2022-03-02 03:08:00,2022-03-02 06:58:00,2022-03-02 06:58:00,2022-03-02 11:05:00,0.6605
2022-03-01,220301058,2022-03-01 08:00:00,2022-03-01 11:56:00,2022-03-01 11:56:00,2022-03-01 15:56:00,2022-03-01 16:59:00,2022-03-02 17:15:00,2022-03-02 19:15:00,2022-03-02 23:25:00,2022-03-02 23:25:00,2022-03-03 03:28:00,2022-03-03 03:28:00,2022-03-03 07:39:00,2022-03-03 07:39:00,2022-03-03 11:42:00,0.5071
2022-03-02,220302059,2022-03-02 08:00:00,2022-03-02 11:50:00,2022-03-02 11:50:00,2022-03-02 15:41:00,2022-03-02 17:15:00,2022-03-03 17:13:00,2022-03-03 19:13:00,2022-03-03 23:08:00,2022-03-03 23:08:00,2022-03-04 03:14:00,2022-03-04 03:14:00,2022-03-04 07:20:00,2022-03-04 07:20:00,2022-03-04 11:29:00,0.3927
2022-03-03,220303060,2022-03-03 08:00:00,2022-03-03 11:54:00,2022-03-03 11:54:00,2022-03-03 16:05:00,2022-03-03 17:13:00,2022-03-04 16:45:00,2022-03-04 18:45:00,2022-03-04 22:49:00,2022-03-04 22:49:00,2022-03-05 02:48:00,2022-03-05 02:48:00,2022-03-05 06:42:00,2022-03-05 06:42:00,2022-03-05 10:44:00,0.3763
2022-03-04,220304061,2022-03-04 08:00:00,2022-03-04 11:48:00,2022-03-04 11:48:00,2022-03-04 15:39:00,2022-03-04 16:45:00,2022-03-05 16:53:00,2022-03-05 18:53:00,2022-03-05 23:02:00,2022-03-05 23:02:00,2022-03-06 03:05:00,2022-03-06 03:05:00,2022-03-06 07:16:00,2022-03-06 07:16:00,2022-03-06 11:16:00,0.5042
2022-03-05,220305062,2022-03-05 08:00:00,2022-03-05 11:52:00,2022-03-05 11:52:00,2022-03-05 15:46:00,2022-03-05 16:53:00,2022-03-06 17:08:00,2022-03-06 19:08:00,2022-03-06 23:05:00,2022-03-06 23:05:00,2022-03-07 03:01:00,2022-03-07 03:01:00,2022-03-07 07:10:00,2022-03-07 07:10:00,2022-03-07 11:21:00,0.5491
