DATE,2018.02.21 11:00
Lot No,L820169      
Bar No,3
Result,NO GOOD
Defect H,2
Defect L,0
No,Point,A-OR,B-OR,CH-A1,CH-A2,CH-A3,CH-A4,CH-A5,CH-B1,CH-B2,CH-B3,CH-B4,CH-B5,Event H,Event L
1,0,0.13,0.20,0.13,0.10,0.12,0.10,0.07,0.14,0.09,0.20,0.18,0.10,0,0
2,13,0.32,0.27,0.09,0.19,0.07,0.08,0.32,0.12,0.15,0.11,0.21,0.27,0,0
3,26,0.18,0.27,0.18,0.09,0.09,0.14,0.14,0.13,0.07,0.09,0.27,0.19,0,0
4,39,0.18,0.40,0.09,0.18,0.14,0.13,0.15,0.10,0.07,0.24,0.40,0.16,0,0
5,52,0.25,0.43,0.14,0.11,0.25,0.09,0.09,0.09,0.07,0.23,0.43,0.13,0,0
6,65,0.23,0.53,0.23,0.13,0.13,0.09,0.10,0.23,0.08,0.29,0.53,0.11,0,0
7,78,0.18,0.24,0.18,0.13,0.15,0.12,0.18,0.12,0.10,0.23,0.13,0.24,0,0
8,91,0.26,0.33,0.10,0.11,0.09,0.26,0.08,0.22,0.33,0.11,0.24,0.13,0,0
9,104,0.34,0.19,0.14,0.12,0.34,0.11,0.22,0.12,0.09,0.19,0.09,0.17,0,0
10,117,0.20,0.47,0.07,0.19,0.11,0.20,0.08,0.14,0.47,0.21,0.15,0.16,0,0
11,130,0.19,0.19,0.11,0.11,0.19,0.19,0.17,0.18,0.14,0.16,0.19,0.12,0,0
12,143,0.23,1.76,0.09,0.11,0.18,0.11,0.23,0.19,0.14,0.12,1.76,0.13,0,0
13,156,0.25,0.30,0.25,0.09,0.13,0.11,0.09,0.17,0.13,0.30,0.15,0.12,0,0
14,169,0.14,0.19,0.09,0.11,0.12,0.14,0.10,0.09,0.10,0.15,0.19,0.16,0,0
15,182,0.27,0.34,0.10,0.27,0.14,0.15,0.07,0.13,0.11,0.10,0.34,0.13,0,0
16,195,0.15,0.46,0.15,0.14,0.14,0.11,0.06,0.12,0.13,0.15,0.46,0.09,0,0
17,208,0.14,0.17,0.14,0.13,0.08,0.09,0.12,0.11,0.15,0.16,0.12,0.17,0,0
18,221,0.13,0.25,0.13,0.09,0.08,0.13,0.08,0.14,0.12,0.09,0.25,0.09,0,0
19,234,0.20,0.25,0.07,0.08,0.09,0.11,0.20,0.14,0.12,0.21,0.25,0.08,0,0
20,247,0.19,0.32,0.08,0.09,0.06,0.19,0.12,0.15,0.27,0.14,0.32,0.11,0,0
21,260,0.15,0.27,0.10,0.09,0.15,0.08,0.13,0.27,0.21,0.25,0.15,0.10,0,0
22,273,0.22,0.37,0.09,0.15,0.22,0.09,0.13,0.27,0.37,0.14,0.14,0.12,0,0
23,286,0.16,0.27,0.16,0.13,0.06,0.13,0.08,0.11,0.22,0.27,0.15,0.15,0,0
24,299,0.22,0.23,0.07,0.11,0.22,0.11,0.10,0.23,0.23,0.18,0.14,0.14,0,0
25,312,0.25,0.36,0.08,0.25,0.19,0.13,0.08,0.08,0.36,0.17,0.19,0.11,0,0
26,325,0.43,0.41,0.16,0.43,0.20,0.10,0.07,0.14,0.14,0.41,0.37,0.14,0,0
27,338,0.17,0.25,0.14,0.17,0.16,0.10,0.13,0.09,0.23,0.25,0.15,0.17,0,0
28,351,0.45,0.16,0.16,0.14,0.45,0.16,0.10,0.09,0.11,0.07,0.16,0.14,0,0
29,364,0.64,0.28,0.64,0.31,0.22,0.13,0.18,0.11,0.10,0.23,0.28,0.19,0,0
30,377,0.22,0.30,0.15,0.22,0.06,0.12,0.08,0.10,0.15,0.27,0.23,0.30,0,0
31,390,0.27,0.44,0.11,0.07,0.27,0.26,0.10,0.25,0.16,0.15,0.44,0.16,0,0
32,403,0.20,0.70,0.11,0.13,0.14,0.20,0.18,0.24,0.26,0.65,0.70,0.21,0,0
33,416,0.20,0.80,0.14,0.13,0.17,0.14,0.20,0.36,0.80,0.35,0.25,0.20,0,0
34,429,0.26,0.40,0.14,0.09,0.12,0.26,0.24,0.35,0.40,0.17,0.19,0.16,0,0
35,442,0.18,0.53,0.12,0.18,0.18,0.12,0.13,0.53,0.43,0.22,0.17,0.08,0,0
36,455,0.24,0.58,0.16,0.18,0.24,0.21,0.16,0.48,0.58,0.53,0.09,0.11,0,0
37,468,0.25,0.54,0.25,0.16,0.10,0.16,0.24,0.54,0.44,0.23,0.33,0.31,0,0
38,481,0.36,0.40,0.13,0.12,0.19,0.24,0.36,0.20,0.37,0.33,0.40,0.36,0,0
39,494,0.21,0.71,0.10,0.08,0.16,0.16,0.21,0.21,0.17,0.29,0.71,0.37,0,0
40,507,0.29,0.39,0.29,0.17,0.17,0.24,0.11,0.15,0.22,0.34,0.39,0.25,0,0
41,520,0.19,0.38,0.07,0.19,0.06,0.08,0.13,0.28,0.28,0.38,0.28,0.17,0,0
42,533,0.34,0.36,0.14,0.24,0.13,0.09,0.34,0.36,0.18,0.20,0.16,0.19,0,0
43,546,0.18,0.19,0.14,0.10,0.08,0.18,0.12,0.19,0.15,0.16,0.11,0.15,0,0
44,559,0.25,0.23,0.15,0.23,0.25,0.22,0.16,0.15,0.12,0.13,0.23,0.19,0,0
45,572,0.31,0.25,0.11,0.18,0.14,0.31,0.12,0.08,0.13,0.14,0.18,0.25,0,0
46,585,0.27,0.25,0.26,0.24,0.14,0.19,0.27,0.13,0.13,0.25,0.13,0.15,0,0
47,598,0.22,0.37,0.17,0.22,0.12,0.08,0.16,0.24,0.19,0.34,0.37,0.23,0,0
48,611,0.22,0.32,0.22,0.15,0.10,0.16,0.20,0.16,0.32,0.16,0.25,0.29,0,0
49,624,0.38,0.64,0.22,0.18,0.29,0.38,0.10,0.10,0.49,0.38,0.64,0.29,0,0
