No,Point,CH-A1,CH-A2,CH-A3,CH-A4,CH-A5,CH-B1,CH-B2,CH-B3,CH-B4,CH-B5
1,0.0,0.13,,,,,,,,,
2,13.0,0.09,0.1,,,,,,,,
3,26.0,0.18,0.19,0.12,,,,,,,
4,39.0,0.09,0.09,0.07,0.1,,,,,,
5,52.0,0.14,0.18,0.09,0.08,0.07,,,,,
6,65.0,0.23,0.11,0.14,0.14,0.32,0.14,,,,
7,78.0,0.18,0.13,0.25,0.13,0.14,0.12,0.09,,,
8,91.0,0.1,0.13,0.13,0.09,0.15,0.13,0.15,0.2,,
9,104.0,0.14,0.11,0.15,0.09,0.09,0.1,0.07,0.11,0.18,
10,117.0,0.07,0.12,0.09,0.12,0.1,0.09,0.07,0.09,0.21,0.1
11,130.0,0.11,0.19,0.34,0.26,0.18,0.23,0.07,0.24,0.27,0.27
12,143.0,0.09,0.11,0.11,0.11,0.08,0.12,0.08,0.23,0.4,0.19
13,156.0,0.25,0.11,0.19,0.2,0.22,0.22,0.1,0.29,0.43,0.16
14,169.0,0.09,0.09,0.18,0.19,0.08,0.12,0.33,0.23,0.53,0.13
15,182.0,0.1,0.11,0.13,0.11,0.17,0.14,0.09,0.11,0.13,0.11
16,195.0,0.15,0.27,0.12,0.11,0.23,0.18,0.47,0.19,0.24,0.24
17,208.0,0.14,0.14,0.14,0.14,0.09,0.19,0.14,0.21,0.09,0.13
18,221.0,0.13,0.13,0.14,0.15,0.1,0.17,0.14,0.16,0.15,0.17
19,234.0,0.07,0.09,0.08,0.11,0.07,0.09,0.13,0.12,0.19,0.16
20,247.0,0.08,0.08,0.08,0.09,0.06,0.13,0.1,0.3,1.76,0.12
21,260.0,0.1,0.09,0.09,0.13,0.12,0.12,0.11,0.15,0.15,0.13
22,273.0,0.09,0.09,0.06,0.11,0.08,0.11,0.13,0.1,0.19,0.12
23,286.0,0.16,0.15,0.15,0.19,0.2,0.14,0.15,0.15,0.34,0.16
24,299.0,0.07,0.13,0.22,0.08,0.12,0.14,0.12,0.16,0.46,0.13
25,312.0,0.08,0.11,0.06,0.09,0.13,0.15,0.12,0.09,0.12,0.09
