No,Point,CH-A1,CH-A2,CH-A3,CH-A4,CH-A5,CH-B1,CH-B2,CH-B3,CH-B4,CH-B5
1,0,0.1,,,,,,,,,
2,13,0.06,0.1,,,,,,,,
3,26,0.18,0.21,0.06,,,,,,,
4,39,0.07,0.09,0.12,0.07,,,,,,
5,52,0.11,0.1,0.09,0.1,0.08,,,,,
6,65,0.19,0.14,0.15,0.12,0.14,0.22,,,,
7,78,0.12,0.21,0.08,0.14,0.12,0.11,0.13,,,
8,91,0.14,0.13,0.16,0.12,0.11,0.23,0.15,0.23,,
9,104,0.11,1.03,2.65,2.18,2.34,2.84,2.69,0.79,0.16,
10,117,0.12,0.09,1.31,3.07,2.28,0.43,0.09,0.12,0.17,0.62
11,130,0.14,0.13,0.13,0.13,0.13,0.14,0.09,0.14,0.21,0.11
12,143,0.11,0.1,0.11,0.12,0.14,0.39,0.56,0.68,0.5,0.32
13,156,1.59,0.13,0.08,0.28,0.21,0.17,0.12,0.14,0.12,0.2
14,169,0.99,0.11,0.12,0.13,0.11,0.25,0.34,0.14,0.21,0.08
15,182,0.13,0.1,0.08,0.08,0.07,0.34,0.1,0.11,0.21,0.09
16,195,0.14,0.19,0.15,0.22,0.13,0.13,0.15,0.18,0.23,0.2
17,208,0.23,0.15,0.09,0.29,0.15,0.11,0.18,0.14,0.2,0.13
18,221,0.15,0.14,0.14,0.17,0.1,0.11,0.12,0.16,0.21,0.16
19,234,0.15,0.12,0.12,0.11,0.1,0.08,0.14,0.27,0.66,0.09
20,247,0.12,0.12,0.1,0.11,0.09,0.07,0.1,0.1,0.12,0.07
21,260,0.14,0.14,0.14,0.13,0.11,0.09,0.16,0.13,0.12,0.11
22,273,0.13,0.15,0.12,0.16,0.1,0.1,0.09,0.13,0.23,0.11
23,286,0.37,0.16,0.09,0.15,0.1,0.23,0.19,0.23,0.24,0.12
24,299,0.29,0.12,0.19,0.17,0.09,0.17,0.18,0.12,0.08,0.07
